CPUID,NOP
5088,22
2688,22
2580,22
2754,22
2666,22
2656,22
2496,22
2538,22
2496,22
2504,22
2530,22
2674,20
2670,22
2950,22
3280,20
3006,24
3214,20
2910,22
3122,24
2960,30
3158,20
3234,22
2770,22
3042,24
3122,22
2882,36
2952,22
2748,24
2856,22
3220,22
3340,20
3106,30
3118,28
3040,22
2718,22
2854,22
3082,24
2828,30
3110,26
3300,26
3338,30
2914,36
3102,26
3608,30
3164,26
3160,20
3290,30
3226,26
3252,32
3642,20
3188,30
3514,30
3180,32
3256,24
3400,32
3256,22
3302,28
3518,34
3544,32
3432,28
3310,30
3166,26
3222,32
3256,32
3286,32
3346,28
3416,22
3348,32
3286,30
3382,30
3010,22
3086,22
3144,32
15832,28
2942,30
2730,32
3082,28
58196,176
3774,32
3134,22
2956,22
3130,22
2620,22
2558,22
2940,26
2648,26
2864,30
3088,22
2886,22
3272,26
3030,22
2694,22
3392,22
3100,28
3126,20
2848,22
2830,22
2488,22
2494,22
2512,22
