CPUID,NOP
3958,34
1378,22
1206,22
1454,34
1102,22
1084,22
1184,22
1216,20
1112,20
1214,34
1298,22
1174,32
1294,26
1094,22
1390,22
1634,22
1256,22
1248,34
1030,22
1136,28
1318,22
1192,22
1164,22
1238,24
1078,32
1494,22
1052,32
1212,24
1124,28
1662,32
1158,22
1554,22
1140,22
1102,20
2076,26
1198,22
1232,22
1810,34
1224,22
1672,32
1210,32
1106,22
1160,40
1204,22
1146,22
1184,32
1214,22
1508,22
1180,32
1146,22
1596,22
1138,34
1200,32
1542,36
1150,24
1532,22
1188,32
1192,22
1838,22
1154,22
1204,34
1778,22
1376,34
1160,26
1214,34
1170,22
1890,22
1178,22
1168,22
1152,20
1276,22
1030,22
1180,22
1182,22
1106,34
1046,22
1166,30
1110,32
1212,22
1132,22
1132,34
1176,22
1136,22
1178,24
1202,32
1082,34
1198,22
1160,22
1120,22
1022,22
1214,22
1030,20
1108,22
1102,30
1284,22
1404,22
1220,22
1088,34
1162,22
1258,22
