CPUID,NOP
132658,38
134824,38
67298,38
71744,38
74328,38
67488,38
70034,38
65550,38
62586,38
68476,38
63004,38
62510,38
64676,38
76646,38
68742,38
76228,38
71136,38
61902,38
69768,38
60306,38
55860,38
63536,38
55214,38
280360,38
84740,38
76722,114
68590,38
76190,38
66538,38
69350,38
69844,38
71516,38
84968,38
63156,38
68210,38
1653000,38
81624,38
73340,38
64296,38
72200,38
75240,38
81244,38
80788,38
89528,38
74404,38
70224,38
65094,38
67868,38
66120,38
59128,38
42294,38
42864,38
70034,38
70794,38
68704,38
70452,38
76608,38
73188,38
77786,38
70756,38
73150,38
75278,38
63688,38
72504,38
75012,38
71668,38
82878,38
70034,38
44878,38
42294,38
63384,38
74936,38
71364,38
60610,38
65360,38
66880,38
59926,38
67146,38
71706,38
64980,38
66766,38
67716,38
68248,38
76684,38
69046,38
66576,38
66424,38
72010,38
72276,38
64258,38
70946,38
68134,38
66158,38
65626,38
65398,38
72314,38
75392,38
61522,38
65246,38
65246,38
