CPUID,NOP
60986,176
46738,134
46546,142
45944,118
45818,118
46522,114
47096,114
90850,186
47026,122
45708,124
45452,108
48360,114
46194,114
65492,122
46606,124
47242,118
46776,114
48152,114
48194,116
66566,118
49416,126
45940,116
46452,110
45180,110
50592,114
225758,196
48802,130
48428,124
48082,126
65140,126
48420,124
50816,128
46130,110
47056,120
45866,116
46008,118
45598,112
46192,124
45560,120
46312,122
45706,120
45808,120
45748,122
45870,130
46794,122
45446,112
45926,116
853504,414
47910,122
47032,108
49684,102
49956,108
46602,106
46916,108
47184,106
46704,108
46930,106
1621044,318
59004,132
46778,118
47398,112
46860,110
46622,118
47088,114
148096,140
47774,130
65546,132
47560,130
49292,126
49244,122
45686,130
47052,132
45658,136
48916,114
50306,118
113910,142
46620,138
46914,124
64350,116
64994,126
46444,118
46178,112
64414,124
44880,118
64968,124
46690,118
46096,120
46368,118
46504,118
84440,112
46048,110
46658,114
46300,112
46840,116
61802,114
45320,138
45350,128
46050,132
45302,122
46524,126
