CPUID,NOP
6971,18
5260,47
4010,21
2974,21
3429,24
4474,18
2738,21
4403,41
3155,21
2810,44
2914,18
2897,50
2923,21
4646,18
9139,44
3834,21
2468,21
3611,21
2912,44
3542,21
4766,24
3358,21
2929,21
3521,21
3721,44
3453,21
2834,18
2762,18
2482,21
3771,21
3200,41
4894,21
3194,21
2554,44
3108,21
2959,21
2956,18
4194,21
2441,21
6328,24
2953,41
2864,41
2661,21
3932,21
3104,21
2947,21
3167,21
3298,21
2605,21
3233,18
5239,21
3914,21
4331,18
4444,21
2628,21
2533,18
3045,24
3096,44
3304,21
2914,24
2548,21
2670,21
2864,21
2548,18
6668,21
2569,41
2712,21
59809,21
2720,24
3608,41
2396,21
2435,21
2992,44
2512,21
2396,24
3182,21
2429,21
3012,21
2512,24
3703,21
2920,21
2444,18
2640,21
3525,21
2879,44
3453,18
3045,18
4343,24
4549,44
2450,24
2569,21
3337,18
3286,21
2512,21
5207,44
6159,44
2444,21
3822,21
4093,21
2504,18
