CPUID,NOP
3048,18
1652,18
1649,18
1649,18
1685,18
1709,18
1652,18
1709,41
1640,18
1667,41
1735,18
1614,41
1643,18
1640,18
1723,18
1908,41
1643,18
1646,18
1643,18
1643,18
1694,18
1646,18
1623,41
1911,18
1643,18
1649,18
1646,18
1623,41
1643,18
1712,41
1646,18
1917,18
1643,18
1646,18
1920,18
1646,18
1643,18
1649,18
1623,41
1923,18
1643,18
1643,18
1620,41
1703,18
1646,18
1914,18
1643,18
2152,18
1620,18
1646,18
1652,18
1643,18
1643,18
1946,18
1646,18
1911,18
1643,18
1620,41
1905,18
1617,18
1623,41
1661,18
1643,18
1643,18
2197,18
1646,18
1620,41
1917,18
1646,18
1917,41
1643,18
1643,18
1923,18
1643,18
1623,41
1908,18
1643,18
1941,41
1643,18
1655,18
1911,18
1620,41
1646,18
1911,18
1643,18
1917,41
1643,18
1646,18
1917,18
1643,18
1623,41
1649,18
1646,18
1643,18
1643,18
1762,18
1643,18
1643,18
1623,41
1643,18
